State,County,Population
South Carolina,Orangeburg,83958
South Carolina,Pickens,131602
South Carolina,Richland,416527
South Carolina,Saluda,18830
South Carolina,Spartanburg,329364
South Carolina,Sumter,105417
South Carolina,Union,27148
South Carolina,Williamsburg,30902
South Carolina,York,283899
South Dakota,Aurora,2733
South Dakota,Beadle,19146
South Dakota,Bennett,3386
South Dakota,Bon Homme,6979
South Dakota,Brookings,34339
South Dakota,Brown,38210
South Dakota,Brule,5263
South Dakota,Buffalo,1944
South Dakota,Butte,10249
South Dakota,Campbell,1374
South Dakota,Charles Mix,9351
South Dakota,Clark,3850
South Dakota,Clay,14998
South Dakota,Codington,28309
South Dakota,Corson,3893
South Dakota,Custer,8328
South Dakota,Davison,19936
South Dakota,Day,5425
South Dakota,Deuel,4299
South Dakota,Dewey,5226
South Dakota,Douglas,2824
South Dakota,Edmunds,3977
South Dakota,Fall River,6964
South Dakota,Faulk,2128
South Dakota,Grant,7532
South Dakota,Gregory,3994
South Dakota,Haakon,1869
South Dakota,Hamlin,6167
South Dakota,Hand,3130
South Dakota,Hanson,3461
South Dakota,Harding,1317
South Dakota,Hughes,17704
South Dakota,Hutchinson,7411
South Dakota,Hyde,1258
South Dakota,Jackson,2810
South Dakota,Jerauld,1657
South Dakota,Jones,925
South Dakota,Kingsbury,5211
South Dakota,Lake,11010
South Dakota,Lawrence,25812
South Dakota,Lincoln,65613
South Dakota,Lyman,3714
South Dakota,McCook,5661
South Dakota,McPherson,2397
South Dakota,Marshall,4300
South Dakota,Meade,29853
South Dakota,Mellette,1916
South Dakota,Miner,2294
South Dakota,Minnehaha,197511
South Dakota,Moody,6324
South Dakota,Oglala Lakota,13672
South Dakota,Pennington,109475
South Dakota,Perkins,2824
South Dakota,Potter,2471
South Dakota,Roberts,10257
South Dakota,Sanborn,2318
South Dakota,Spink,6338
South Dakota,Stanley,2976
South Dakota,Sully,1446
South Dakota,Todd,9319
South Dakota,Tripp,5601
South Dakota,Turner,8673
South Dakota,Union,16832
South Dakota,Walworth,5289
South Dakota,Yankton,23238
South Dakota,Ziebach,2388
Tennessee,Anderson,77209
Tennessee,Bedford,50302
Tennessee,Benton,15812
Tennessee,Bledsoe,14930
Tennessee,Blount,135566
Tennessee,Bradley,108741
Tennessee,Campbell,39277
Tennessee,Cannon,14547
Tennessee,Carroll,28415
Tennessee,Carter,56315
Tennessee,Cheatham,41087
Tennessee,Chester,17347
Tennessee,Claiborne,32038
Tennessee,Clay,7554
Tennessee,Cocke,36022
Tennessee,Coffee,58102
Tennessee,Crockett,13884
Tennessee,Cumberland,61272
Tennessee,Davidson,715486
Tennessee,Decatur,11402
Tennessee,DeKalb,20171
Tennessee,Dickson,54432
Tennessee,Dyer,36646
Tennessee,Fayette,42139
Tennessee,Fentress,18522
Tennessee,Franklin,42781
Tennessee,Gibson,50375
Tennessee,Giles,30295
Tennessee,Grainger,23525
Tennessee,Greene,70220
Tennessee,Grundy,13531
Tennessee,Hamblen,64435
Tennessee,Hamilton,366991
Tennessee,Hancock,6622
Tennessee,Hardeman,25410
Tennessee,Hardin,26800
Tennessee,Hawkins,56669
Tennessee,Haywood,17795
Tennessee,Henderson,27818
Tennessee,Henry,32115
Tennessee,Hickman,24942
Tennessee,Houston,8285
Tennessee,Humphreys,18974
Tennessee,Jackson,11617
Tennessee,Jefferson,54870
Tennessee,Johnson,17966
Tennessee,Knox,480126
Tennessee,Lake,6980
Tennessee,Lauderdale,25100
Tennessee,Lawrence,44189
Tennessee,Lewis,12602
Tennessee,Lincoln,35309
Tennessee,Loudon,55097
Tennessee,McMinn,53315
Tennessee,McNairy,25839
Tennessee,Macon,25243
Tennessee,Madison,98777
Tennessee,Marion,28834
Tennessee,Marshall,34441
Tennessee,Maury,101700
Tennessee,Meigs,12785
Tennessee,Monroe,46384
Tennessee,Montgomery,221160
Tennessee,Moore,6457
Tennessee,Morgan,21020
Tennessee,Obion,30716
Tennessee,Overton,22588
Tennessee,Perry,8360
Tennessee,Pickett,4995
Tennessee,Polk,17569
Tennessee,Putnam,79982
Tennessee,Rhea,32903
Tennessee,Roane,53513
Tennessee,Robertson,72860
Tennessee,Rutherford,343128
Tennessee,Scott,21842
Tennessee,Sequatchie,15863
Tennessee,Sevier,98497
Tennessee,Shelby,928644
Tennessee,Smith,19939
Tennessee,Stewart,13683
Tennessee,Sullivan,158092
Tennessee,Sumner,197272
Tennessee,Tipton,60961
Tennessee,Trousdale,11661
Tennessee,Unicoi,17867
Tennessee,Union,19820
Tennessee,Van Buren,6171
Tennessee,Warren,41023
Tennessee,Washington,133080
Tennessee,Wayne,16202
Tennessee,Weakley,32864
Tennessee,White,27424
Tennessee,Williamson,249424
Tennessee,Wilson,148564
Texas,Anderson,57881
Texas,Andrews,18612
Texas,Angelina,86345
Texas,Aransas,23916
Texas,Archer,8557
Texas,Armstrong,1847
Texas,Atascosa,49089
Texas,Austin,30109
Texas,Bailey,6859
Texas,Bandera,20987
Texas,Bastrop,97983
Texas,Baylor,3464
Texas,Bee,30990
Texas,Bell,371981
Texas,Bexar,2014052
Texas,Blanco,11454
Texas,Borden,641
Texas,Bosque,18239
Texas,Bowie,92792
Texas,Brazoria,373368
Texas,Brazos,234480
Texas,Brewster,9566
Texas,Briscoe,1421
Texas,Brooks,7030
Texas,Brown,38002
Texas,Burleson,17644
Texas,Burnet,49427
Texas,Caldwell,45967
Texas,Calhoun,20047
Texas,Callahan,13750
Texas,Cameron,421191
Texas,Camp,12450
Texas,Carson,5808
Texas,Cass,28399
Texas,Castro,7337
Texas,Chambers,47051
Texas,Cherokee,50477
Texas,Childress,6648
Texas,Clay,10245
Texas,Cochran,2559
Texas,Coke,3288
Texas,Coleman,7671
Texas,Collin,1073149
Texas,Collingsworth,2635
Texas,Colorado,20566
Texas,Comal,163573
Texas,Comanche,13600
Texas,Concho,3319
Texas,Cooke,41697
Texas,Coryell,83096
Texas,Cottle,1374
Texas,Crane,4668
Texas,Crockett,3111
Texas,Crosby,5098
Texas,Culberson,2193
Texas,Dallam,7116
Texas,Dallas,2610957
Texas,Dawson,12439
Texas,Deaf Smith,18503
Texas,Delta,5233
Texas,Denton,913900
Texas,DeWitt,19809
Texas,Dickens,1760
Texas,Dimmit,8563
Texas,Donley,3269
Texas,Duval,9808
Texas,Eastland,17754
Texas,Ector,165467
Texas,Edwards,1414
Texas,Ellis,194272
Texas,El Paso,866093
Texas,Erath,42715
Texas,Falls,16961
Texas,Fannin,35732
Texas,Fayette,24452
Texas,Fisher,3677
Texas,Floyd,5378
Texas,Foard,1086
Texas,Fort Bend,828632
Texas,Franklin,10366
Texas,Freestone,19445
Texas,Frio,18366
Texas,Gaines,21701
Texas,Galveston,351458
Texas,Garza,5794
Texas,Gillespie,26732
Texas,Glasscock,1114
Texas,Goliad,7005
Texas,Gonzales,19653
Texas,Gray,21179
Texas,Grayson,136014
Texas,Gregg,124175
Texas,Grimes,29414
Texas,Guadalupe,173541
Texas,Hale,32439
Texas,Hall,2801
Texas,Hamilton,8230
Texas,Hansford,5255
Texas,Hardeman,3559
Texas,Hardin,56277
Texas,Harris,4732491
Texas,Harrison,68778
Texas,Hartley,5362
Texas,Haskell,5424
Texas,Hays,243809
Texas,Hemphill,3368
Texas,Henderson,82348
Texas,Hidalgo,872204
Texas,Hill,35965
Texas,Hockley,21490
Texas,Hood,61953
Texas,Hopkins,36795
Texas,Houston,22068
Texas,Howard,34797
Texas,Hudspeth,3196
Texas,Hunt,100231
Texas,Hutchinson,20539
Texas,Irion,1522
Texas,Jack,8492
Texas,Jackson,15000
Texas,Jasper,32900
Texas,Jeff Davis,1978
Texas,Jefferson,255979
Texas,Jim Hogg,4839
Texas,Jim Wells,38813
Texas,Johnson,180733
Texas,Jones,19676
Texas,Karnes,14721
Texas,Kaufman,146986
Texas,Kendall,44527
Texas,Kenedy,346
Texas,Kent,759
Texas,Kerr,52676
Texas,Kimble,4289
Texas,King,270
Texas,Kinney,3127
Texas,Kleberg,30958
Texas,Knox,3361
Texas,Lamar,50077
Texas,Lamb,12984
Texas,Lampasas,21707
Texas,La Salle,6642
Texas,Lavaca,20338
Texas,Lee,17499
Texas,Leon,15727
Texas,Liberty,92351
Texas,Limestone,22103
Texas,Lipscomb,3042
Texas,Live Oak,11343
Texas,Llano,21249
Texas,Loving,67
Texas,Lubbock,311419
Texas,Lynn,5606
Texas,McCulloch,7567
Texas,McLennan,261023
Texas,McMullen,599
Texas,Madison,13445
Texas,Marion,9752
Texas,Martin,5250
Texas,Mason,3964
Texas,Matagorda,36269
Texas,Maverick,57844
Texas,Medina,50920
Texas,Menard,1971
Texas,Midland,170221
Texas,Milam,24724
Texas,Mills,4439
Texas,Mitchell,8985
Texas,Montague,19969
Texas,Montgomery,624938
Texas,Moore,21273
Texas,Morris,11963
Texas,Motley,1052
Texas,Nacogdoches,64624
Texas,Navarro,52784
Texas,Newton,12163
Texas,Nolan,14721
Texas,Nueces,353090
Texas,Ochiltree,9960
Texas,Oldham,1761
Texas,Orange,84702
Texas,Palo Pinto,28427
Texas,Panola,22513
Texas,Parker,149432
Texas,Parmer,9851
Texas,Pecos,15165
Texas,Polk,50505
Texas,Potter,118173
Texas,Presidio,6102
Texas,Rains,12199
Texas,Randall,141231
Texas,Reagan,3376
Texas,Real,2743
Texas,Red River,11550
Texas,Reeves,14730
Texas,Refugio,6747
Texas,Roberts,823
Texas,Robertson,16740
Texas,Rockwall,109090
Texas,Runnels,9921
Texas,Rusk,52225
Texas,Sabine,9881
Texas,San Augustine,7919
Texas,San Jacinto,27483
Texas,San Patricio,68772
Texas,San Saba,5730
Texas,Schleicher,2442
Texas,Scurry,16931
Texas,Shackelford,3122
Texas,Shelby,23926
Texas,Sherman,2780
Texas,Smith,234063
Texas,Somervell,9214
Texas,Starr,65835
Texas,Stephens,9079
Texas,Sterling,1383
Texas,Stonewall,1245
Texas,Sutton,3362
Texas,Swisher,6957
Texas,Tarrant,2114709
Texas,Taylor,143383
Texas,Terrell,744
Texas,Terry,11792
Texas,Throckmorton,1443
Texas,Titus,31264
Texas,Tom Green,120105
Texas,Travis,1296100
Texas,Trinity,13623
Texas,Tyler,19797
Texas,Upshur,40975
Texas,Upton,3296
Texas,Uvalde,24540
Texas,Val Verde,47582
Texas,Van Zandt,59690
Texas,Victoria,91236
Texas,Walker,76543
Texas,Waller,57349
Texas,Ward,11656
Texas,Washington,35837
Texas,Webb,267234
Texas,Wharton,41550
Texas,Wheeler,4980
Texas,Wichita,129546
Texas,Wilbarger,12846
Texas,Willacy,20129
Texas,Williamson,615266
Texas,Wilson,49994
Texas,Winkler,7749
Texas,Wise,68866
Texas,Wood,45010
Texas,Yoakum,7669
Texas,Young,17839
Texas,Zapata,13884
Texas,Zavala,9652
Utah,Beaver,7076
Utah,Box Elder,57908
Utah,Cache,133527
Utah,Carbon,20465
Utah,Daggett,952
Utah,Davis,363492
Utah,Duchesne,19581
Utah,Emery,9837
Utah,Garfield,5090
Utah,Grand,9681
Utah,Iron,57640
Utah,Juab,11824
Utah,Kane,7673
Utah,Millard,13015
Utah,Morgan,12392
Utah,Piute,1437
Utah,Rich,2504
Utah,Salt Lake,1186236
Utah,San Juan,14525
Utah,Sanpete,28508
Utah,Sevier,21546
Utah,Summit,42452
Utah,Tooele,73281
Utah,Uintah,35618
Utah,Wasatch,35032
Utah,Washington,181924
Utah,Wayne,2497
Utah,Weber,262828
Vermont,Addison,37292
Vermont,Bennington,37271
Vermont,Caledonia,30184
Vermont,Chittenden,168289
Vermont,Essex,5910
Vermont,Franklin,49996
Vermont,Grand Isle,7278
Vermont,Lamoille,25914
Vermont,Orange,29259
Vermont,Orleans,27355
Vermont,Rutland,60455
Vermont,Washington,59748
Vermont,Windham,45844
Vermont,Windsor,57700
Virginia,Accomack,33348
Virginia,Albemarle,112496
Virginia,Alleghany,15161
Virginia,Amelia,13246
Virginia,Amherst,31262
Virginia,Appomattox,16133
Virginia,Arlington,238766
Virginia,Augusta,77512
Virginia,Bath,4196
Virginia,Bedford,79504
Virginia,Bland,6247
Virginia,Botetourt,33614
Virginia,Brunswick,15806
Virginia,Buchanan,20216
Virginia,Buckingham,16820
Virginia,Campbell,55638
Virginia,Caroline,30905
Virginia,Carroll,29130
Virginia,Charles City,6733
Virginia,Charlotte,11506
Virginia,Chesterfield,365566
Virginia,Clarke,14788
Virginia,Craig,4880
Virginia,Culpeper,52717
Virginia,Cumberland,9656
Virginia,Dickenson,14045
Virginia,Dinwiddie,27900
Virginia,Essex,10591
Virginia,Fairfax,1148472
Virginia,Fauquier,72938
Virginia,Floyd,15474
Virginia,Fluvanna,27280
Virginia,Franklin,54469
Virginia,Frederick,91766
Virginia,Giles,16754
Virginia,Gloucester,38688
Virginia,Goochland,24828
Virginia,Grayson,15300
Virginia,Greene,20591
Virginia,Greensville,11393
Virginia,Halifax,33901
Virginia,Hanover,110102
Virginia,Henrico,334298
Virginia,Henry,50782
Virginia,Highland,2236
Virginia,Isle of Wight,38658
Virginia,James City,78412
Virginia,King and Queen,6590
Virginia,King George,26806
Virginia,King William,17905
Virginia,Lancaster,10910
Virginia,Lee,22084
Virginia,Loudoun,422597
Virginia,Louisa,37757
Virginia,Lunenburg,11930
Virginia,Madison,13837
Virginia,Mathews,8524
Virginia,Mecklenburg,30287
Virginia,Middlesex,10623
Virginia,Montgomery,99508
Virginia,Nelson,14732
Virginia,New Kent,23086
Virginia,Northampton,12232
Virginia,Northumberland,11839
Virginia,Nottoway,15614
Virginia,Orange,36396
Virginia,Page,23693
Virginia,Patrick,17560
Virginia,Pittsylvania,60312
Virginia,Powhatan,30433
Virginia,Prince Edward,21853
Virginia,Prince George,43023
Virginia,Prince William,482738
Virginia,Pulaski,33760
Virginia,Rappahannock,7312
Virginia,Richmond,8920
Virginia,Roanoke,96845
Virginia,Rockbridge,22610
Virginia,Rockingham,83758
Virginia,Russell,25726
Virginia,Scott,21547
Virginia,Shenandoah,44255
Virginia,Smyth,29730
Virginia,Southampton,17949
Virginia,Spotsylvania,140475
Virginia,Stafford,157604
Virginia,Surry,6546
Virginia,Sussex,10768
Virginia,Tazewell,40343
Virginia,Warren,40782
Virginia,Washington,53839
Virginia,Westmoreland,18496
Virginia,Wise,36018
Virginia,Wythe,28274
Virginia,York,70154
Virginia,Alexandria city,159097
Virginia,Bristol city,17259
Virginia,Buena Vista city,6620
Virginia,Charlottesville city,46423
Virginia,Chesapeake city,249679
Virginia,Colonial Heights city,18191
Virginia,Covington city,5721
Virginia,Danville city,42465
Virginia,Emporia city,5716
Virginia,Fairfax city,24129
Virginia,Falls Church city,14654
Virginia,Franklin city,8171
Virginia,Fredericksburg city,27995
Virginia,Galax city,6691
Virginia,Hampton city,137131
Virginia,Harrisonburg city,51675
Virginia,Hopewell city,22967
Virginia,Lexington city,7313
Virginia,Lynchburg city,78871
Virginia,Manassas city,42728
Virginia,Manassas Park city,17140
Virginia,Martinsville city,13422
Virginia,Newport News city,185916
Virginia,Norfolk city,237591
Virginia,Norton city,3679
Virginia,Petersburg city,33428
Virginia,Poquoson city,12455
Virginia,Portsmouth city,98015
Virginia,Radford city,16089
Virginia,Richmond city,226670
Virginia,Roanoke city,99875
Virginia,Salem city,25374
Virginia,Staunton city,25800
Virginia,Suffolk city,94685
Virginia,Virginia Beach city,459373
Virginia,Waynesboro city,22279
Virginia,Williamsburg city,15445
Virginia,Winchester city,28008
Washington,Adams,20605
Washington,Asotin,22290
Washington,Benton,207230
Washington,Chelan,79185
Washington,Clallam,77280
Washington,Clark,505013
Washington,Columbia,3949
Washington,Cowlitz,110924
Washington,Douglas,42998
Washington,Ferry,7178
Washington,Franklin,97076
Washington,Garfield,2292
Washington,Grant,99365
Washington,Grays Harbor,75811
Washington,Island,86948
Washington,Jefferson,33048
Washington,King,2272571
Washington,Kitsap,275660
Washington,Kittitas,44589
Washington,Klickitat,22783
Washington,Lewis,82474
Washington,Lincoln,10920
Washington,Mason,66028
Washington,Okanogan,42118
Washington,Pacific,23470
Washington,Pend Oreille,13482
Washington,Pierce,922828
Washington,San Juan,17818
Washington,Skagit,129852
Washington,Skamania,12034
Washington,Snohomish,829331
Washington,Spokane,540700
Washington,Stevens,46566
Washington,Thurston,295729
Washington,Wahkiakum,4443
Washington,Walla Walla,62574
Washington,Whatcom,227304
Washington,Whitman,47786
Washington,Yakima,256533
West Virginia,Barbour,15440
West Virginia,Berkeley,122654
West Virginia,Boone,21714
West Virginia,Braxton,12386
West Virginia,Brooke,22469
West Virginia,Cabell,94137
West Virginia,Calhoun,6199
West Virginia,Clay,8006
West Virginia,Doddridge,7786
West Virginia,Fayette,40358
West Virginia,Gilmer,7378
West Virginia,Grant,10954
West Virginia,Greenbrier,32866
West Virginia,Hampshire,23067
West Virginia,Hancock,29019
West Virginia,Hardy,14240
West Virginia,Harrison,65771
West Virginia,Jackson,27735
West Virginia,Jefferson,57732
West Virginia,Kanawha,180048
West Virginia,Lewis,17009
West Virginia,Lincoln,20337
West Virginia,Logan,32473
West Virginia,McDowell,18916
West Virginia,Marion,56157
West Virginia,Marshall,30444
West Virginia,Mason,25356
West Virginia,Mercer,59462
West Virginia,Mineral,26877
West Virginia,Mingo,23455
West Virginia,Monongalia,105916
West Virginia,Monroe,12330
West Virginia,Morgan,17037
West Virginia,Nicholas,24523
West Virginia,Ohio,42264
West Virginia,Pendleton,6134
West Virginia,Pleasants,7649
West Virginia,Pocahontas,7847
West Virginia,Preston,34176
West Virginia,Putnam,57399
West Virginia,Raleigh,74349
West Virginia,Randolph,27852
West Virginia,Ritchie,8424
West Virginia,Roane,13977
West Virginia,Summers,11915
West Virginia,Taylor,16701
West Virginia,Tucker,6752
West Virginia,Tyler,8279
West Virginia,Upshur,23783
West Virginia,Wayne,38830
West Virginia,Webster,8329
West Virginia,Wetzel,14382
West Virginia,Wirt,5183
West Virginia,Wood,83996
West Virginia,Wyoming,21326
Wisconsin,Adams,20673
Wisconsin,Ashland,15977
Wisconsin,Barron,46643
Wisconsin,Bayfield,16229
Wisconsin,Brown,268741
Wisconsin,Buffalo,13320
Wisconsin,Burnett,16588
Wisconsin,Calumet,52476
Wisconsin,Chippewa,66279
Wisconsin,Clark,34628
Wisconsin,Columbia,58510
Wisconsin,Crawford,16086
Wisconsin,Dane,562306
Wisconsin,Dodge,89262
Wisconsin,Door,30102
Wisconsin,Douglas,44275
Wisconsin,Dunn,45440
Wisconsin,Eau Claire,105818
Wisconsin,Florence,4556
Wisconsin,Fond du Lac,104076
Wisconsin,Forest,9160
Wisconsin,Grant,51934
Wisconsin,Green,36992
Wisconsin,Green Lake,18997
Wisconsin,Iowa,23676
Wisconsin,Iron,6128
Wisconsin,Jackson,21102
Wisconsin,Jefferson,84858
Wisconsin,Juneau,26759
Wisconsin,Kenosha,169073
Wisconsin,Kewaunee,20539
Wisconsin,La Crosse,120852
Wisconsin,Lafayette,16605
Wisconsin,Langlade,19438
Wisconsin,Lincoln,28374
Wisconsin,Manitowoc,81250
Wisconsin,Marathon,137954
Wisconsin,Marinette,41869
Wisconsin,Marquette,15584
Wisconsin,Menominee,4255
Wisconsin,Milwaukee,938149
Wisconsin,Monroe,46281
Wisconsin,Oconto,39043
Wisconsin,Oneida,37839
Wisconsin,Outagamie,190832
Wisconsin,Ozaukee,91569
Wisconsin,Pepin,7335
Wisconsin,Pierce,42191
Wisconsin,Polk,45006
Wisconsin,Portage,70378
Wisconsin,Price,14015
Wisconsin,Racine,197440
Wisconsin,Richland,17274
Wisconsin,Rock,163643
Wisconsin,Rusk,14168
Wisconsin,St. Croix,93797
Wisconsin,Sauk,65718
Wisconsin,Sawyer,18107
Wisconsin,Shawano,40838
Wisconsin,Sheboygan,117937
Wisconsin,Taylor,19897
Wisconsin,Trempealeau,30776
Wisconsin,Vernon,30693
Wisconsin,Vilas,23076
Wisconsin,Walworth,106499
Wisconsin,Washburn,16597
Wisconsin,Washington,136732
Wisconsin,Waukesha,407148
Wisconsin,Waupaca,51713
Wisconsin,Waushara,24511
Wisconsin,Winnebago,171646
Wisconsin,Wood,74091
Wyoming,Albany,37079
Wyoming,Big Horn,11467
Wyoming,Campbell,47116
Wyoming,Carbon,14499
Wyoming,Converse,13724
Wyoming,Crook,7178
Wyoming,Fremont,39177
Wyoming,Goshen,12503
Wyoming,Hot Springs,4622
Wyoming,Johnson,8459
Wyoming,Laramie,100690
Wyoming,Lincoln,19674
Wyoming,Natrona,80229
Wyoming,Niobrara,2439
Wyoming,Park,29656
Wyoming,Platte,8623
Wyoming,Sheridan,30996
Wyoming,Sublette,8723
Wyoming,Sweetwater,42158
Wyoming,Teton,23347
Wyoming,Uinta,20441
Wyoming,Washakie,7658
Wyoming,Weston,6809
District of Columbia,District of Columbia,701974
